自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
108,2025-09-13,杰克琼斯官方旗舰店,178760,套头卫衣夏季款,622491,SPU027-黄色-L,631,499,378,19649,271,208,1489,SPU027,黄色,SUB126,C波,https://shop.example.com/product/52959,2025-09-13,2025-10-02 13:51:27,SPU027-黄色-L
109,2025-09-26,GAP官方旗舰店,244100,套头卫衣夏季款,650454,SPU027-黄色-L,51,94,46,7430,91,12,17314,SPU027,黄色,SUB886,C波,https://shop.example.com/product/51721,2025-09-26,2025-10-25 22:40:56,SPU027-黄色-L
110,2025-10-05,Stradivarius官方旗舰店,704411,套头卫衣夏季款,322623,SPU027-黄色-L,1192,454,409,5166,63,29,3216,SPU027,黄色,SUB383,C波,https://shop.example.com/product/82116,2025-10-05,2025-10-19 20:58:09,SPU027-黄色-L
111,2025-09-18,ONLY女装官方旗舰店,183532,套头卫衣夏季款,951000,SPU027-黄色-S,1124,386,295,45251,277,152,36199,SPU027,黄色,SUB773,C波,https://shop.example.com/product/23164,2025-09-18,2025-10-10 15:42:30,SPU027-黄色-S
112,2025-10-08,GAP女装官方旗舰店,142716,套头卫衣夏季款,427042,SPU027-黄色-XXL,860,458,47,43115,206,85,17632,SPU027,黄色,SUB858,A波,https://shop.example.com/product/27942,2025-10-08,2025-10-09 02:24:31,SPU027-黄色-XXL
113,2025-10-04,GXG男装官方旗舰店,104204,运动T恤秋冬款,212018,SPU028-橙色-均码,61,35,2,30751,6,6,23666,SPU028,橙色,SUB515,A波,https://shop.example.com/product/44640,2025-10-04,2025-10-24 10:52:47,SPU028-橙色-均码
114,2025-09-25,森马男装官方旗舰店,932681,运动T恤秋冬款,359602,SPU028-橙色-XXL,20,81,42,11034,75,23,37290,SPU028,橙色,SUB817,A波,https://shop.example.com/product/92685,2025-09-25,2025-10-11 21:15:16,SPU028-橙色-XXL
115,2025-09-11,播男装官方旗舰店,329027,运动T恤秋冬款,864148,SPU028-橙色-S,259,415,86,48356,8,8,15636,SPU028,橙色,SUB517,A波,https://shop.example.com/product/99313,2025-09-11,2025-10-06 03:10:03,SPU028-橙色-S
116,2025-09-25,美特斯邦威男装官方旗舰店,933262,伞裙夏季款,865304,SPU029-黑色-M,794,267,96,32286,139,60,3890,SPU029,黑色,SUB540,B波,https://shop.example.com/product/90380,2025-09-25,2025-10-10 14:12:40,SPU029-黑色-M
117,2025-10-01,ONLY官方旗舰店,965101,伞裙夏季款,653418,SPU029-黑色-XS,599,341,176,8926,198,103,38716,SPU029,黑色,SUB521,C波,https://shop.example.com/product/45305,2025-10-01,2025-10-17 17:46:42,SPU029-黑色-XS
118,2025-10-05,H&M女装官方旗舰店,540636,伞裙夏季款,367386,SPU029-黑色-XL,331,127,127,95,31,7,26577,SPU029,黑色,SUB704,B波,https://shop.example.com/product/43152,2025-10-05,2025-10-21 22:06:46,SPU029-黑色-XL
119,2025-10-21,美特斯邦威男装官方旗舰店,293313,伞裙夏季款,954008,SPU029-黑色-XL,245,353,343,16304,65,16,2634,SPU029,黑色,SUB336,B波,https://shop.example.com/product/16103,2025-10-16,2025-10-28 06:08:35,SPU029-黑色-XL
120,2025-10-17,ZARA男装官方旗舰店,513892,伞裙夏季款,239420,SPU029-黑色-XL,446,374,141,7380,36,36,184,SPU029,黑色,SUB767,B波,https://shop.example.com/product/24519,2025-10-12,2025-10-22 15:17:28,SPU029-黑色-XL
121,2025-09-18,阿迪达斯官方旗舰店,533435,牛仔裤热卖款,212149,SPU030-绿色-XL,699,424,105,29299,356,73,9632,SPU030,绿色,SUB841,A波,https://shop.example.com/product/58333,2025-09-18,2025-10-09 02:37:05,SPU030-绿色-XL
122,2025-09-28,太平鸟女装官方旗舰店,791557,牛仔裤热卖款,644070,SPU030-绿色-XXL,348,166,70,29059,105,84,13208,SPU030,绿色,SUB978,B波,https://shop.example.com/product/37103,2025-09-28,2025-10-11 15:58:41,SPU030-绿色-XXL
123,2025-10-13,ONLY官方旗舰店,798201,牛仔裤热卖款,999797,SPU030-绿色-XXL,248,199,125,32041,90,35,28668,SPU030,绿色,SUB150,C波,https://shop.example.com/product/10400,2025-10-11,2025-10-16 23:00:27,SPU030-绿色-XXL
124,2025-09-17,Bershka官方旗舰店,164387,牛仔裤热卖款,919350,SPU030-绿色-XS,61,221,191,30064,118,67,18944,SPU030,绿色,SUB308,D波,https://shop.example.com/product/24472,2025-09-17,2025-10-01 12:40:41,SPU030-绿色-XS
125,2025-09-23,Pull&Bear官方旗舰店,397214,牛仔裤热卖款,392896,SPU030-绿色-S,362,451,218,902,147,121,34707,SPU030,绿色,SUB166,D波,https://shop.example.com/product/55592,2025-09-23,2025-10-23 06:55:45,SPU030-绿色-S
126,2025-10-03,江南布衣男装官方旗舰店,310684,运动套装经典款,821872,SPU031-黑色-XS,442,155,70,31249,57,24,17671,SPU031,黑色,SUB264,D波,https://shop.example.com/product/38909,2025-10-03,2025-10-25 23:56:55,SPU031-黑色-XS
127,2025-10-03,耐克官方旗舰店,918946,运动套装经典款,345808,SPU031-黑色-均码,660,224,124,25203,34,14,36159,SPU031,黑色,SUB621,B波,https://shop.example.com/product/24394,2025-10-03,2025-10-11 20:15:39,SPU031-黑色-均码
128,2025-09-26,韩都衣舍女装官方旗舰店,367188,运动套装经典款,823420,SPU031-黑色-XS,50,137,69,43141,94,66,20330,SPU031,黑色,SUB864,D波,https://shop.example.com/product/12660,2025-09-26,2025-10-24 16:02:21,SPU031-黑色-XS
129,2025-10-21,江南布衣官方旗舰店,396551,连帽卫衣春季款,364344,SPU032-黄色-XXXL,31,32,11,41125,6,3,34624,SPU032,黄色,SUB103,B波,https://shop.example.com/product/12565,2025-10-13,2025-10-27 20:12:51,SPU032-黄色-XXXL
130,2025-09-18,太平鸟童装官方旗舰店,695539,连帽卫衣春季款,457875,SPU032-黄色-M,0,167,123,12675,141,47,7108,SPU032,黄色,SUB850,C波,https://shop.example.com/product/65685,2025-09-18,2025-10-05 03:44:51,SPU032-黄色-M
131,2025-10-10,GXG男装官方旗舰店,309156,连帽卫衣春季款,759393,SPU032-黄色-均码,205,128,91,6297,69,48,30923,SPU032,黄色,SUB739,B波,https://shop.example.com/product/42097,2025-10-10,2025-10-22 10:10:33,SPU032-黄色-均码
132,2025-10-09,Mango女装官方旗舰店,452476,连帽卫衣春季款,474216,SPU032-黄色-XXL,241,166,61,34897,11,5,32319,SPU032,黄色,SUB333,D波,https://shop.example.com/product/83719,2025-10-09,2025-10-21 03:05:24,SPU032-黄色-XXL
133,2025-10-04,COS官方旗舰店,692612,连帽卫衣春季款,243650,SPU032-黄色-L,7,8,6,2875,1,0,30610,SPU032,黄色,SUB522,A波,https://shop.example.com/product/23449,2025-10-04,2025-10-16 16:38:31,SPU032-黄色-L
134,2025-09-24,江南布衣男装官方旗舰店,853329,长袖T恤新款,242314,SPU033-黄色-XS,452,348,109,14317,280,189,6347,SPU033,黄色,SUB137,C波,https://shop.example.com/product/11533,2025-09-24,2025-10-18 20:54:39,SPU033-黄色-XS
135,2025-10-11,太平鸟童装官方旗舰店,226120,长袖T恤新款,394032,SPU033-黄色-S,1316,470,301,29480,300,107,6126,SPU033,黄色,SUB448,B波,https://shop.example.com/product/90186,2025-10-11,2025-10-13 13:15:19,SPU033-黄色-S
136,2025-09-30,COS女装官方旗舰店,362476,长袖T恤新款,929527,SPU033-黄色-XXL,153,60,34,48917,5,5,15807,SPU033,黄色,SUB145,D波,https://shop.example.com/product/46317,2025-09-30,2025-10-12 22:43:53,SPU033-黄色-XXL
137,2025-09-25,ZARA女装官方旗舰店,894114,长袖T恤新款,829671,SPU033-黄色-M,746,277,3,32083,85,27,26988,SPU033,黄色,SUB438,A波,https://shop.example.com/product/21627,2025-09-25,2025-10-03 20:46:10,SPU033-黄色-M
138,2025-09-29,VERO MODA女装官方旗舰店,703638,长袖T恤新款,391158,SPU033-黄色-S,0,257,218,45637,117,44,23389,SPU033,黄色,SUB871,D波,https://shop.example.com/product/82913,2025-09-29,2025-10-11 11:01:27,SPU033-黄色-S
139,2025-09-09,耐克官方旗舰店,874793,休闲裤新款,202247,SPU034-棕色-XXL,43,356,341,18039,84,24,11276,SPU034,棕色,SUB942,B波,https://shop.example.com/product/40699,2025-09-09,2025-10-04 11:26:23,SPU034-棕色-XXL
140,2025-09-13,H&M男装官方旗舰店,288105,休闲裤新款,305369,SPU034-棕色-XL,428,377,101,8691,23,9,30202,SPU034,棕色,SUB162,D波,https://shop.example.com/product/39573,2025-09-13,2025-10-01 14:01:35,SPU034-棕色-XL
141,2025-09-19,优衣库官方旗舰店,223602,休闲裤新款,860997,SPU034-棕色-S,934,316,104,24028,68,38,28299,SPU034,棕色,SUB257,A波,https://shop.example.com/product/30849,2025-09-19,2025-10-17 18:28:32,SPU034-棕色-S
142,2025-10-15,阿迪达斯官方旗舰店,279699,休闲裤新款,492729,SPU034-棕色-均码,35,242,136,11475,96,87,27548,SPU034,棕色,SUB211,A波,https://shop.example.com/product/30648,2025-10-13,2025-10-22 21:32:29,SPU034-棕色-均码
143,2025-09-22,Pull&Bear官方旗舰店,535214,休闲裤新款,213707,SPU034-棕色-L,222,108,29,45854,9,2,17441,SPU034,棕色,SUB830,C波,https://shop.example.com/product/69382,2025-09-22,2025-10-08 19:33:26,SPU034-棕色-L
144,2025-09-25,森马女装官方旗舰店,792601,训练外套经典款,694850,SPU035-白色-XS,55,80,57,27845,76,22,29168,SPU035,白色,SUB385,C波,https://shop.example.com/product/44108,2025-09-25,2025-10-24 09:06:39,SPU035-白色-XS
145,2025-10-05,VERO MODA女装官方旗舰店,869040,训练外套经典款,937080,SPU035-白色-S,790,310,10,12862,109,51,19368,SPU035,白色,SUB484,D波,https://shop.example.com/product/21930,2025-10-05,2025-10-06 15:07:03,SPU035-白色-S
146,2025-10-15,Massimo Dutti官方旗舰店,935297,训练外套经典款,828254,SPU035-白色-XXXL,259,447,27,15056,297,273,7416,SPU035,白色,SUB673,D波,https://shop.example.com/product/61721,2025-10-13,2025-10-24 13:24:28,SPU035-白色-XXXL
147,2025-10-13,GXG男装官方旗舰店,847056,训练外套经典款,873442,SPU035-白色-XXXL,276,465,27,33944,332,92,35325,SPU035,白色,SUB996,B波,https://shop.example.com/product/26571,2025-10-11,2025-10-26 12:49:25,SPU035-白色-XXXL
148,2025-10-09,ZARA官方旗舰店,633112,训练外套经典款,999996,SPU035-白色-XS,310,123,69,4860,116,30,35324,SPU035,白色,SUB665,A波,https://shop.example.com/product/54448,2025-10-09,2025-10-12 11:21:15,SPU035-白色-XS
149,2025-10-18,播官方旗舰店,373825,羽绒服热卖款,448206,SPU036-红色-XL,562,268,69,11685,47,2,28031,SPU036,红色,SUB602,B波,https://shop.example.com/product/28312,2025-10-16,2025-10-27 09:01:14,SPU036-红色-XL
150,2025-10-02,太平鸟官方旗舰店,832719,羽绒服热卖款,767155,SPU036-红色-XXL,183,411,265,9687,404,319,28989,SPU036,红色,SUB173,D波,https://shop.example.com/product/93080,2025-10-02,2025-10-18 02:28:33,SPU036-红色-XXL
151,2025-10-07,H&M童装官方旗舰店,897064,羽绒服热卖款,437476,SPU036-红色-XXL,471,279,84,44652,41,17,22130,SPU036,红色,SUB130,A波,https://shop.example.com/product/11511,2025-10-07,2025-10-18 09:20:23,SPU036-红色-XXL
152,2025-10-20,GAP男装官方旗舰店,797179,羽绒服热卖款,824443,SPU036-红色-XS,49,399,370,1988,13,1,21135,SPU036,红色,SUB268,A波,https://shop.example.com/product/20830,2025-10-14,2025-10-30 22:45:57,SPU036-红色-XS
153,2025-09-27,播男装官方旗舰店,944495,羽绒服热卖款,203033,SPU036-红色-XL,899,352,275,42437,97,47,3751,SPU036,红色,SUB906,A波,https://shop.example.com/product/29631,2025-09-27,2025-10-16 09:59:11,SPU036-红色-XL
154,2025-10-22,太平鸟女装官方旗舰店,804830,运动T恤热卖款,220751,SPU037-灰色-M,516,180,165,18996,80,37,17092,SPU037,灰色,SUB263,A波,https://shop.example.com/product/81535,2025-10-13,2025-10-23 12:06:30,SPU037-灰色-M
155,2025-09-11,杰克琼斯男装官方旗舰店,800599,运动T恤热卖款,704383,SPU037-灰色-M,1105,416,244,18820,75,62,34224,SPU037,灰色,SUB886,A波,https://shop.example.com/product/29736,2025-09-11,2025-10-10 06:26:11,SPU037-灰色-M
156,2025-10-02,欧时力女装官方旗舰店,751852,运动T恤热卖款,926602,SPU037-灰色-S,21,89,40,24867,36,30,2646,SPU037,灰色,SUB619,D波,https://shop.example.com/product/71251,2025-10-02,2025-10-28 04:46:49,SPU037-灰色-S
157,2025-10-05,杰克琼斯男装官方旗舰店,151226,运动T恤热卖款,102931,SPU037-灰色-XXXL,16,13,3,24765,0,0,22379,SPU037,灰色,SUB190,C波,https://shop.example.com/product/77618,2025-10-05,2025-10-11 10:29:58,SPU037-灰色-XXXL
158,2025-09-20,Pull&Bear官方旗舰店,524865,运动T恤热卖款,496069,SPU037-灰色-XL,288,140,31,15453,135,105,9782,SPU037,灰色,SUB916,C波,https://shop.example.com/product/77067,2025-09-20,2025-10-20 20:36:01,SPU037-灰色-XL
159,2025-09-12,杰克琼斯官方旗舰店,793448,家居服热卖款,151378,SPU038-灰色-M,187,116,39,11156,41,36,24597,SPU038,灰色,SUB847,A波,https://shop.example.com/product/82422,2025-09-12,2025-10-10 13:35:21,SPU038-灰色-M
160,2025-09-30,优衣库男装官方旗舰店,592588,家居服热卖款,155613,SPU038-灰色-XS,832,365,106,15754,20,13,39459,SPU038,灰色,SUB976,D波,https://shop.example.com/product/91014,2025-09-30,2025-10-28 20:39:35,SPU038-灰色-XS
161,2025-09-06,GAP男装官方旗舰店,754728,家居服热卖款,916435,SPU038-灰色-XXXL,538,181,47,8242,4,0,3978,SPU038,灰色,SUB374,A波,https://shop.example.com/product/26044,2025-09-06,2025-10-02 07:21:52,SPU038-灰色-XXXL
162,2025-10-09,播官方旗舰店,975454,家居服热卖款,654251,SPU038-灰色-XXL,254,443,284,34687,200,189,325,SPU038,灰色,SUB367,C波,https://shop.example.com/product/94381,2025-10-09,2025-10-29 08:20:05,SPU038-灰色-XXL
163,2025-10-13,播男装官方旗舰店,622659,休闲衬衫经典款,361111,SPU039-绿色-M,264,90,24,24778,70,24,34624,SPU039,绿色,SUB763,A波,https://shop.example.com/product/62390,2025-10-11,2025-10-22 02:05:18,SPU039-绿色-M
164,2025-10-06,Pull&Bear官方旗舰店,805691,休闲衬衫经典款,168713,SPU039-绿色-XS,72,137,102,40571,62,43,19343,SPU039,绿色,SUB843,B波,https://shop.example.com/product/78383,2025-10-06,2025-10-23 03:56:21,SPU039-绿色-XS
165,2025-09-15,太平鸟童装官方旗舰店,412042,休闲衬衫经典款,266296,SPU039-绿色-均码,21,292,124,27511,157,33,24134,SPU039,绿色,SUB839,D波,https://shop.example.com/product/38032,2025-09-15,2025-10-02 20:45:49,SPU039-绿色-均码
166,2025-09-27,GAP男装官方旗舰店,364083,休闲衬衫经典款,186159,SPU039-绿色-XS,118,53,2,25571,19,9,25551,SPU039,绿色,SUB260,C波,https://shop.example.com/product/58977,2025-09-27,2025-10-26 23:17:52,SPU039-绿色-XS
167,2025-09-24,Pull&Bear男装官方旗舰店,144374,运动T恤热卖款,295652,SPU040-棕色-XS,825,387,117,47259,148,94,22277,SPU040,棕色,SUB656,B波,https://shop.example.com/product/48513,2025-09-24,2025-10-07 20:46:23,SPU040-棕色-XS
168,2025-10-13,耐克官方旗舰店,801145,运动T恤热卖款,188716,SPU040-棕色-均码,240,98,48,20167,93,52,18336,SPU040,棕色,SUB983,C波,https://shop.example.com/product/77237,2025-10-12,2025-10-28 07:52:43,SPU040-棕色-均码
169,2025-10-22,欧时力女装官方旗舰店,123584,运动T恤热卖款,909539,SPU040-棕色-XXL,231,294,55,24141,271,123,36443,SPU040,棕色,SUB814,B波,https://shop.example.com/product/46101,2025-10-16,2025-10-24 08:06:11,SPU040-棕色-XXL
170,2025-09-23,播女装官方旗舰店,739731,运动T恤热卖款,972156,SPU040-棕色-M,356,169,15,44150,34,21,2460,SPU040,棕色,SUB396,A波,https://shop.example.com/product/48191,2025-09-23,2025-10-03 12:28:48,SPU040-棕色-M
171,2025-09-28,ONLY女装官方旗舰店,326632,运动T恤热卖款,319086,SPU040-棕色-XXXL,181,122,24,34485,26,8,38477,SPU040,棕色,SUB422,A波,https://shop.example.com/product/61736,2025-09-28,2025-10-26 03:37:32,SPU040-棕色-XXXL
172,2025-09-13,COS女装官方旗舰店,248285,运动套装热卖款,945097,SPU041-白色-XXL,209,372,46,6198,113,91,39312,SPU041,白色,SUB565,D波,https://shop.example.com/product/26223,2025-09-13,2025-10-03 04:54:53,SPU041-白色-XXL
173,2025-09-30,杰克琼斯男装官方旗舰店,308266,运动套装热卖款,352807,SPU041-白色-XS,607,278,46,41344,24,21,12975,SPU041,白色,SUB604,B波,https://shop.example.com/product/27656,2025-09-30,2025-10-21 18:03:25,SPU041-白色-XS
174,2025-09-30,森马官方旗舰店,336682,运动套装热卖款,141115,SPU041-白色-XXL,416,207,8,47406,164,19,5496,SPU041,白色,SUB868,D波,https://shop.example.com/product/52918,2025-09-30,2025-10-26 07:15:59,SPU041-白色-XXL
175,2025-10-28,播女装官方旗舰店,625004,家居服夏季款,526977,SPU042-白色-XXXL,565,199,184,34371,24,0,699,SPU042,白色,SUB289,B波,https://shop.example.com/product/13482,2025-10-25,2025-10-31 02:47:54,SPU042-白色-XXXL
176,2025-09-21,GXG男装官方旗舰店,211931,家居服夏季款,450841,SPU042-白色-XXXL,849,415,57,36027,15,4,39137,SPU042,白色,SUB636,A波,https://shop.example.com/product/42032,2025-09-21,2025-10-18 16:15:09,SPU042-白色-XXXL
177,2025-09-12,美特斯邦威官方旗舰店,595214,家居服夏季款,767768,SPU042-白色-XS,1018,352,135,47792,193,72,39064,SPU042,白色,SUB222,D波,https://shop.example.com/product/10402,2025-09-12,2025-10-11 12:16:38,SPU042-白色-XS
178,2025-10-03,ZARA男装官方旗舰店,324082,家居服夏季款,510791,SPU042-白色-XXL,753,451,312,22661,317,68,3797,SPU042,白色,SUB178,C波,https://shop.example.com/product/89127,2025-10-03,2025-10-27 18:21:25,SPU042-白色-XXL
179,2025-10-02,Pull&Bear男装官方旗舰店,651510,家居服夏季款,770342,SPU042-白色-XXL,98,36,36,18798,7,1,35338,SPU042,白色,SUB399,B波,https://shop.example.com/product/40323,2025-10-02,2025-10-25 22:53:14,SPU042-白色-XXL
180,2025-09-13,播男装官方旗舰店,459609,训练外套经典款,978775,SPU043-粉色-S,27,203,150,9128,135,104,12760,SPU043,粉色,SUB274,B波,https://shop.example.com/product/38257,2025-09-13,2025-10-10 22:49:19,SPU043-粉色-S
181,2025-10-05,欧时力女装官方旗舰店,255065,训练外套经典款,177071,SPU043-粉色-XXL,245,310,231,18023,308,171,22131,SPU043,粉色,SUB528,A波,https://shop.example.com/product/22088,2025-10-05,2025-10-12 09:49:30,SPU043-粉色-XXL
182,2025-09-22,ZARA童装官方旗舰店,882254,训练外套经典款,998920,SPU043-粉色-均码,374,130,75,8523,9,8,35134,SPU043,粉色,SUB517,A波,https://shop.example.com/product/58081,2025-09-22,2025-10-11 17:19:39,SPU043-粉色-均码
183,2025-10-07,GAP男装官方旗舰店,930505,训练外套经典款,453885,SPU043-粉色-M,243,322,252,25919,10,6,28532,SPU043,粉色,SUB909,A波,https://shop.example.com/product/78070,2025-10-07,2025-10-08 09:37:13,SPU043-粉色-M
184,2025-10-07,Massimo Dutti官方旗舰店,882597,风衣新款,235042,SPU044-橙色-M,873,355,9,2762,49,12,3629,SPU044,橙色,SUB632,B波,https://shop.example.com/product/57359,2025-10-07,2025-10-15 23:40:11,SPU044-橙色-M
185,2025-09-19,Bershka女装官方旗舰店,736933,风衣新款,192672,SPU044-橙色-S,27,199,98,10092,101,87,29860,SPU044,橙色,SUB174,C波,https://shop.example.com/product/37899,2025-09-19,2025-10-16 22:25:50,SPU044-橙色-S
186,2025-09-28,GAP男装官方旗舰店,329222,风衣新款,366366,SPU044-橙色-均码,87,51,22,3411,11,6,33362,SPU044,橙色,SUB663,B波,https://shop.example.com/product/67178,2025-09-28,2025-10-14 03:00:21,SPU044-橙色-均码
187,2025-09-19,秋水伊人女装官方旗舰店,756805,风衣新款,988596,SPU044-橙色-M,496,292,217,36790,55,41,9345,SPU044,橙色,SUB736,B波,https://shop.example.com/product/78746,2025-09-19,2025-10-15 03:10:08,SPU044-橙色-M
188,2025-09-30,欧时力官方旗舰店,886078,风衣新款,142301,SPU044-橙色-均码,237,425,123,19923,135,1,34590,SPU044,橙色,SUB558,B波,https://shop.example.com/product/54906,2025-09-30,2025-10-13 16:07:53,SPU044-橙色-均码
189,2025-09-25,播男装官方旗舰店,799512,羽绒服秋冬款,677019,SPU045-棕色-M,377,152,135,8945,60,26,3022,SPU045,棕色,SUB317,B波,https://shop.example.com/product/94559,2025-09-25,2025-10-21 19:19:51,SPU045-棕色-M
190,2025-10-03,H&M男装官方旗舰店,230167,羽绒服秋冬款,155994,SPU045-棕色-XXXL,104,191,170,24285,157,115,1183,SPU045,棕色,SUB720,A波,https://shop.example.com/product/76505,2025-10-03,2025-10-07 04:41:44,SPU045-棕色-XXXL
191,2025-10-06,GXG男装官方旗舰店,841917,羽绒服秋冬款,167989,SPU045-棕色-XL,296,188,73,37623,144,46,1033,SPU045,棕色,SUB831,D波,https://shop.example.com/product/43455,2025-10-06,2025-10-26 05:21:50,SPU045-棕色-XL
